train_data_percentage,train_data_accuracy,test_data_accuracy,train_data_error,test_data_error
0.05,0.89629005,0.79272,0.10370995,0.20728
0.10,0.86941870,0.82096,0.13058130,0.17904
0.15,0.86019090,0.83072,0.13980910,0.16928
0.20,0.86084211,0.83532,0.13915789,0.16468
0.25,0.86253369,0.83796,0.13746631,0.16204
0.30,0.85836609,0.83656,0.14163391,0.16344
0.35,0.85803657,0.83864,0.14196343,0.16136
0.40,0.85610526,0.83988,0.14389474,0.16012
0.45,0.85242373,0.84012,0.14757627,0.15988
0.50,0.85320869,0.84040,0.14679131,0.15960
0.55,0.85224315,0.84044,0.14775685,0.15956
0.60,0.85108772,0.83980,0.14891228,0.16020
0.65,0.85313553,0.83984,0.14686447,0.16016
0.70,0.85280318,0.84132,0.14719682,0.15868
0.75,0.85195374,0.84168,0.14804626,0.15832
0.80,0.85231579,0.84192,0.14768421,0.15808
0.85,0.85296740,0.84272,0.14703260,0.15728
0.90,0.85159540,0.84128,0.14840460,0.15872
0.95,0.85214077,0.84228,0.14785923,0.15772
1.00,0.85296842,0.84316,0.14703158,0.15684
